number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
2,182,6,706,7,7,0,1242
1,432188,3,99,3,5,0,1328
1,432505,3,310,17,21,0,1363
1,69039,4,180,7,7,0,1309
1,182,5,382,11,16,0,1038
1,432552,2,84,4,4,0,995
1,431219,4,690,11,11,0,1091
1,19,9,1049,14,6,0,1141
1,19,6,383,2,1,0,1024
1,19,4,312,4,2,0,1351
1,120,10,1047,18,20,0,1164
1,120,5,313,3,2,0,1364
2,12034,6,313,2,2,0,1359
2,2,7,308,1,6,0,1342
2,444786,2,73,5,0,0,1498
2,12234,3,89,5,0,0,1001
2,444786,2,73,5,0,0,1188
2,444786,2,44,5,0,0,1384
2,12234,3,99,5,0,0,1203
2,444786,2,89,5,0,0,983
2,15,4,89,1,1,0,993
2,444804,2,50,1,0,0,1006
2,2,3,53,4,1,0,1014
2,12237,7,383,2,2,0,1049
2,17,8,383,1,1,0,1052
2,12495,5,690,56,56,0,1080
2,12364,11,1047,15,15,0,1145
2,61290,4,98,6,7,0,1195
2,281644,5,98,6,6,0,1190
2,342919,5,89,9,9,0,987
2,342992,8,308,1,1,0,1345
2,342894,9,383,1,1,0,1019
2,355169,7,706,1,1,0,1211
2,342664,12,1047,2,2,0,1133
2,3,13,1047,3,3,0,1160
1,786392,4,431,1,1,0,1404
3,580445,6,690,1,1,0,1070
2,461026,14,1082,37,5,0,1148
2,188,15,1082,9,9,0,1140
1,1248939,2,298,9,9,0,1443
1,1248939,2,115,2,2,0,1116
1,461214,5,423,15,23,0,1392
1,1248939,2,234,3,7,0,1468
2,128412,6,423,3,3,0,1398
2,944981,3,202,2,2,0,1425
2,128436,3,242,15,7,0,1466
3,589653,8,706,1,1,0,1215
2,944822,4,107,9,1,0,1321
2,1377375,2,81,7,0,0,1502
2,24,7,425,4,2,0,1388
3,589667,6,90,1,0,0,1003
2,14,8,427,4,2,0,1414
3,129398,16,1082,2,2,0,1176
2,962,5,107,1,1,0,1338
2,962,3,81,1,1,0,1519
3,9,17,1088,9,3,0,1136
4,352865,7,694,6,2,0,1108
2,976,9,427,2,2,0,1400
3,19,18,1088,1,1,0,1155
4,275,8,694,1,1,0,1086
3,1259,9,708,4,2,0,1234
2,268,10,427,1,1,0,1402
3,897,10,712,9,5,0,1207
3,1499,19,1096,12,4,0,1135
2,130926,3,116,1,0,0,1114
2,130926,3,299,1,0,0,1441
2,1566,4,81,1,1,0,1511
2,1566,6,107,1,1,0,1330
2,2538,4,245,13,10,0,1481
2,2577,4,202,3,3,0,1420
3,65,20,1096,2,2,0,1149
3,21,21,1099,16,13,0,1154
3,1396,11,727,16,1,0,1226
3,948559,8,395,17,0,0,1277
2,1038,5,74,0,7,0,1505
2,1038,7,100,0,7,0,1324
3,2748,11,428,1,0,0,1415
3,593662,10,384,1,0,0,1034
2,948834,5,181,1,0,0,1302
3,1520,4,300,1,0,0,1444
3,593665,9,309,1,0,0,1352
4,457,12,731,4,0,0,1219
3,1520,4,117,1,0,0,1117
3,13,10,311,2,0,0,1348
3,1505,5,202,8,8,0,1428
3,593715,6,98,2,2,0,1205
3,514,9,395,3,3,0,1281
3,1529,5,245,4,4,0,1473
4,56,13,731,2,2,0,1233
4,9921,11,324,15,2,0,1366
4,9879,14,732,1,0,0,1244
3,10149,12,428,1,1,0,1416
3,10146,5,117,1,1,0,1128
3,946726,4,53,1,1,0,1015
3,10146,5,300,1,1,0,1460
1,0,1,22,21,0,0,1521
4,10110,7,97,1,2,0,1189
1,10,2,24,2,0,0,1520
4,224,12,322,8,10,0,1344
3,10103,6,245,1,1,0,1461
3,946760,3,72,1,2,0,1489
3,14157,7,89,1,2,0,986
4,12912,9,693,1,2,0,1067
3,13,13,427,1,2,0,1385
2,10604,6,73,1,2,0,1500
3,946760,3,88,1,2,0,973
3,10112,6,199,7,10,0,1417
4,10163,11,381,7,10,0,1018
2,1391547,2,99,1,2,0,1055
4,224,15,731,7,8,0,1208
3,10160,6,180,1,2,0,1299
3,946760,3,72,1,2,0,1178
3,13,6,299,1,2,0,1437
3,11594,22,1097,1,3,0,1130
3,13,6,116,1,2,0,1112
2,10604,8,99,1,2,0,1319
3,13,5,52,1,2,0,1004
3,946760,3,43,1,2,0,1375
3,10103,10,393,6,8,0,1268
4,4089,12,381,3,3,0,1053
3,6721,7,203,15,11,0,1434
4,6721,16,919,188,0,0,1260
3,6721,11,395,2,0,0,1292
4,165,17,927,8,0,0,1220
4,412,18,930,4,1,0,1241
4,7300,13,322,2,2,0,1362
3,7371,23,1097,1,1,0,1177
3,1634,12,396,1,0,0,1294
4,1056,19,931,1,0,0,1265
3,8796,14,427,1,1,0,1393
3,8796,7,116,1,1,0,1118
4,7062,20,963,53,21,0,1267
3,8697,8,203,2,2,0,1435
3,7062,13,396,1,1,0,1296
4,661,21,984,22,1,0,1229
3,681,14,397,5,4,0,1271
4,19,22,1015,34,3,0,1217
4,401251,23,1004,6,17,0,1256
2,417442,9,100,4,3,0,1329
4,133,24,1007,9,6,0,1235
4,1107067,15,397,1,1,0,1282
4,1123197,7,299,1,1,0,1450
5,1115897,14,322,4,4,0,1357
4,29,16,397,1,1,0,1280
5,705712,25,1007,1,1,0,1231
4,1123197,8,89,1,1,0,992
4,1123197,7,180,1,1,0,1305
5,900,26,1007,1,1,0,1209
4,51576,17,397,16,16,0,1293
4,51588,8,299,1,1,0,1448
5,1174785,10,693,1,1,0,1082
5,50687,27,1007,1,1,0,1230
4,1167414,24,1097,7,7,0,1153
4,1166019,15,431,6,2,0,1386
4,29,9,298,1,2,0,1439
4,1159396,9,208,15,10,0,1418
5,29,11,695,2,0,0,1069
4,29,25,1097,2,2,0,1132
5,29,28,1007,1,1,0,1210
4,3,26,1101,5,1,0,1142
5,161,10,295,2,5,0,1449
4,1174977,7,242,1,4,0,1465
5,166,12,695,1,1,0,1110
5,104348,15,327,6,1,0,1343
5,7473,16,328,2,1,0,1374
5,552068,16,431,1,1,0,1396
5,1722794,13,381,2,2,0,1028
4,649577,8,180,2,2,0,1310
5,537755,17,327,1,2,0,1365
5,51733,18,346,19,0,0,1355
5,7,19,367,26,5,0,1358
5,0,20,368,1,0,0,1341
5,680871,29,1016,9,0,0,1246
5,710105,13,703,9,1,0,1073
5,557,14,708,6,1,0,1094
5,231975,15,708,1,1,0,1068
5,942642,11,295,1,1,0,1438
6,403892,14,419,38,0,0,1051
7,17305,15,426,11,4,0,1054
2,2153799,3,24,2,2,0,1523
7,23457,16,549,146,23,0,1021
7,2573,17,549,7,7,0,1039
5,1029275,8,261,20,1,0,1478
5,138,9,262,1,0,0,1477
5,143642,16,708,1,1,0,1085
5,56871,10,242,1,21,0,1472
5,419091,30,1015,1,2,0,1238
4,2266309,8,116,3,3,0,1115
5,502330,9,180,3,3,0,1301
5,13842,11,242,5,5,0,1467
5,2275105,8,97,2,2,0,1192
5,157485,12,295,8,8,0,1442
3,1857663,10,100,2,2,0,1322
5,548221,17,431,18,18,0,1391
6,450589,21,368,6,6,0,1350
5,1100290,10,208,2,2,0,1421
5,13842,17,708,31,31,0,1076
3,2275105,7,73,1,1,0,1503
5,1151908,9,89,2,2,0,989
6,326,31,1015,5,5,0,1216
7,100991,18,549,16,16,0,1023
5,1100286,27,1101,24,24,0,1139
5,0,28,1101,38,38,0,1150
5,0,10,180,3,3,0,1304
5,0,18,431,9,9,0,1397
5,0,13,295,5,5,0,1447
4,2275105,4,88,2,2,0,976
4,0,9,116,1,1,0,1119
5,0,18,708,20,20,0,1081
4,2275105,4,72,2,2,0,1491
6,0,22,368,7,7,0,1356
5,1100331,18,397,12,12,0,1276
5,0,10,89,2,2,0,991
5,0,12,242,9,9,0,1471
6,0,32,1015,18,18,0,1225
5,0,11,208,3,3,0,1422
3,0,8,73,1,1,0,1507
7,0,19,549,23,23,0,1030
3,0,11,100,3,3,0,1325
4,2275105,4,43,1,1,0,1377
4,2275105,6,52,3,3,0,1007
5,0,9,97,3,3,0,1194
4,2275105,4,72,2,2,0,1181
5,5325,13,262,21,1,0,1479
5,5051,14,263,1,0,0,1470
6,14025,11,178,0,2,0,1308
4,14025,12,99,0,1,0,1327
6,14025,19,430,0,1,0,1405
3,2289131,3,97,0,2,0,1059
6,14025,11,88,1,2,0,994
5,14025,5,41,0,2,0,1379
6,14025,29,1099,0,2,0,1161
6,14025,19,396,1,2,0,1284
5,14025,10,115,0,1,0,1122
5,14025,5,86,0,2,0,978
7,14025,23,366,0,2,0,1361
3,135331,4,22,0,2,0,1524
5,14025,5,70,0,2,0,1493
8,14025,20,547,0,2,0,1036
5,14025,7,51,0,1,0,1009
5,14025,5,70,0,2,0,1183
6,3649,15,261,0,2,0,1476
4,14025,9,71,0,2,0,1510
6,14025,10,95,0,2,0,1197
6,14025,14,294,0,1,0,1452
6,14025,19,707,1,2,0,1089
6,14025,12,206,0,2,0,1427
7,14025,33,1013,0,2,0,1239
6,-1557,30,1101,2,0,0,1168
6,-1557,12,180,2,0,0,1313
6,-1557,20,431,1,0,0,1410
6,-1557,15,295,1,0,0,1456
6,-1557,6,88,2,0,0,980
6,-1557,11,116,1,0,0,1125
6,-1557,20,708,2,1,0,1101
6,-1557,6,72,2,0,0,1495
7,-1557,16,264,13,10,0,1485
7,-1557,24,368,2,0,0,1369
6,-1557,20,397,2,1,0,1287
6,-1557,12,89,2,1,0,998
7,-1557,34,1015,2,0,0,1249
6,-1557,13,208,2,0,0,1431
5,-1557,10,73,2,0,0,1515
8,-1557,21,549,2,0,0,1042
5,-1557,13,100,1,0,0,1333
6,-1557,6,43,2,0,0,1381
4,-1557,4,99,2,0,0,1062
6,-1557,8,52,1,0,0,1011
7,-1557,11,97,2,0,0,1200
6,-1557,6,72,2,0,0,1185
3,-1557,5,24,2,0,0,1525
6,1612,13,178,0,2,0,1314
5,1612,14,99,0,1,0,1334
6,1612,21,430,0,1,0,1411
4,1612,5,97,0,2,0,1063
6,1612,13,88,1,2,0,999
6,1612,7,41,0,2,0,1382
6,1612,31,1099,0,2,0,1169
6,1612,21,396,1,2,0,1288
6,1612,12,115,0,1,0,1126
6,1612,7,86,0,2,0,981
7,1612,25,366,0,2,0,1370
3,1612,6,22,0,2,0,1526
6,1612,7,70,0,2,0,1496
8,1612,22,547,0,2,0,1043
6,1612,9,51,0,1,0,1012
7,1612,17,262,0,2,0,1486
6,1612,7,70,0,2,0,1186
5,1612,11,71,0,2,0,1516
7,1612,12,95,0,2,0,1201
6,1612,16,294,0,1,0,1457
6,1612,21,707,1,2,0,1102
6,1612,14,206,0,2,0,1432
7,1612,35,1013,0,2,0,1250
7,11506,22,752,54,9,0,1098
8,55007,23,782,31,1,0,1074
8,141527,26,366,3,3,0,1349
9,145698,23,547,68,68,0,1017
8,369005,18,262,1,1,0,1480
8,501056,19,263,2,1,0,1463
4,881671,6,97,4,4,0,1064
8,815157,24,782,4,4,0,1103
9,735973,24,547,10,10,0,1044
6,881671,22,430,4,4,0,1412
9,1178062,27,366,5,5,0,1368
6,1319589,15,99,1,1,0,1332
7,1319589,22,396,1,1,0,1286
8,449527,20,263,1,1,0,1484
7,1319589,32,1099,30,30,0,1167
8,1319589,36,1013,57,57,0,1248
5,437918,7,97,2,2,0,1061
7,1319589,14,88,1,1,0,997
7,1319589,14,178,9,9,0,1312
7,1319589,15,206,4,4,0,1430
6,1319589,12,71,1,1,0,1514
7,1319589,17,294,3,3,0,1455
7,437918,23,430,12,12,0,1409
9,437918,25,782,12,12,0,1100
9,227236,28,366,7,7,0,1340
7,1546826,13,115,1,1,0,1111
9,227236,26,782,1,1,0,1066
7,227236,15,178,1,1,0,1298
7,227236,18,294,1,1,0,1436
8,227236,37,1013,2,2,0,1206
10,665155,25,547,3,3,0,1016
7,227236,33,1099,4,4,0,1129
9,1,27,784,2,0,0,1092
7,1,34,1100,1,0,0,1163
10,1,26,548,1,0,0,1040
7,227238,24,432,2,0,0,1406
9,2,28,784,3,3,0,1099
8,227240,21,263,1,1,0,1483
9,6,29,366,1,1,0,1353
9,2,29,781,6,9,0,1093
8,259878,22,263,1,1,0,1464
9,273554,38,1013,1,1,0,1262
8,541155,16,206,15,15,0,1433
8,313919,19,294,15,15,0,1458
7,541155,13,71,15,15,0,1517
8,541155,23,396,15,15,0,1289
9,40364,39,1013,15,15,0,1251
8,313919,16,178,15,15,0,1315
8,54036,23,263,16,16,0,1487
8,313919,14,115,15,15,0,1127
10,313912,30,781,15,15,0,1104
7,1860745,10,51,15,15,0,1013
7,1860745,8,86,15,15,0,982
8,313917,25,432,15,15,0,1413
7,1860745,8,70,15,15,0,1187
7,541155,16,99,15,15,0,1335
8,541155,15,88,15,15,0,1000
8,1860745,13,95,15,15,0,1202
7,1860745,8,41,15,15,0,1383
6,541155,8,97,15,15,0,1065
9,313912,30,366,15,15,0,1371
7,1860745,8,70,15,15,0,1497
8,313917,35,1100,15,15,0,1170
11,313917,27,548,15,15,0,1045
8,28700,36,1100,3,3,0,1165
8,23,37,1100,1,1,0,1138
10,28734,31,781,1,1,0,1107
9,28734,40,1013,1,1,0,1261
8,11,38,1100,2,2,0,1175
11,60613,28,548,3,3,0,1025
8,60678,24,263,3,3,0,1488
8,31953,39,1100,1,1,0,1152
11,73,29,548,1,1,0,1032
8,60687,26,432,1,1,0,1399
7,89221,14,71,2,2,0,1506
10,66900,32,777,9,13,0,1088
8,34957,25,260,9,12,0,1475
8,95635,17,174,2,6,0,1307
7,6413,15,71,1,1,0,1509
10,211329,33,777,2,2,0,1084
11,339892,30,469,89,168,0,1041
8,339892,27,360,76,148,0,1408
8,400580,15,91,30,54,0,1123
8,400580,17,194,68,80,0,1429
8,400580,9,77,10,19,0,979
8,400580,9,63,9,16,0,1494
8,400580,9,62,8,16,0,1184
9,400580,14,86,12,21,0,1199
8,400580,24,357,45,84,0,1285
8,400580,20,244,78,128,0,1453
7,400580,17,85,14,28,0,1331
8,400580,11,50,13,14,0,1010
8,400580,16,83,8,13,0,996
8,304945,26,209,50,101,0,1482
9,400580,31,337,30,59,0,1367
8,400580,9,38,3,6,0,1380
8,339892,40,943,163,320,0,1166
8,304945,18,156,19,37,0,1311
7,304945,16,61,10,20,0,1512
9,371845,41,888,143,268,0,1247
6,400580,9,85,23,35,0,1060
10,93615,34,629,153,301,0,1097
8,3,28,360,86,86,0,1394
8,3,27,209,99,99,0,1469
7,3,18,85,20,20,0,1323
8,3,21,244,48,48,0,1446
8,3,25,357,138,138,0,1274
9,3,42,888,517,517,0,1223
10,3,35,629,309,309,0,1078
11,3,31,469,237,237,0,1027
8,3,19,156,23,23,0,1303
9,3,32,337,104,104,0,1354
8,3,10,77,14,14,0,975
8,3,17,83,23,23,0,990
8,3,10,62,8,8,0,1180
9,3,15,86,29,29,0,1193
8,3,41,943,334,334,0,1147
7,3,17,61,16,16,0,1504
10,204,36,629,1,1,0,1096
8,204,29,360,1,1,0,1407
9,211,43,888,1,1,0,1218
8,1523,10,64,9,8,0,1499
8,1524,20,156,4,4,0,1306
8,1524,42,943,12,12,0,1159
9,1524,33,337,2,2,0,1360
8,1527,12,50,2,2,0,1008
8,1527,10,38,1,1,0,1378
8,1527,16,91,2,2,0,1121
8,3,11,64,2,2,0,1492
8,1527,18,194,5,5,0,1426
8,1524,11,62,2,2,0,1182
7,1524,18,61,2,2,0,1508
8,1320,30,360,20,20,0,1403
8,1524,11,77,2,2,0,977
9,1524,16,86,2,2,0,1196
11,1524,32,469,16,16,0,1035
7,1524,19,85,5,5,0,1326
8,1524,28,209,18,18,0,1474
8,1524,26,357,13,13,0,1283
6,1527,10,85,5,5,0,1058
10,1320,37,629,12,12,0,1087
9,1313,44,888,12,12,0,1237
8,1524,22,244,18,18,0,1451
8,4,12,83,14,8,0,984
8,1533,18,83,1,1,0,1002
8,9,21,156,1,1,0,1317
9,9,34,337,6,6,0,1372
11,9,33,469,1,1,0,1047
10,9,38,629,1,1,0,1105
9,9,17,86,1,1,0,1204
9,9,45,890,14,12,0,1254
8,9,43,943,9,9,0,1172
6,156,11,86,5,4,0,1057
8,155,13,83,6,6,0,985
8,151,44,940,0,3,0,1131
9,152,46,890,1,1,0,1243
9,0,47,890,1,1,0,1232
11,152,34,469,2,2,0,1033
4,2263841,7,22,1,1,0,1522
11,1047,35,465,1,5,0,1026
9,1047,48,887,1,4,0,1221
8,1209,23,244,12,12,0,1445
9,72,49,888,19,18,0,1258
8,73,24,244,1,1,0,1459
9,1,50,888,13,13,0,1253
8,1122,45,940,1,1,0,1171
8,1283,27,357,1,1,0,1290
8,1274,22,156,1,1,0,1316
11,73,36,465,2,2,0,1046
8,0,46,940,5,5,0,1173
8,3763,17,91,1,1,0,1124
8,2480,25,244,1,1,0,1454
7,3763,19,67,6,0,0,1513
7,2,20,67,1,1,0,1518
9,2489,51,885,12,15,0,1263
7,3772,20,84,11,12,0,1337
9,13,52,886,41,40,0,1266
7,13,21,84,1,1,0,1339
8,2502,28,358,32,31,0,1295
9,3,53,877,7,16,0,1257
10,19735,39,778,155,6,0,1077
10,5,40,779,15,14,0,1083
10,0,41,777,2,4,0,1095
10,2,42,777,3,3,0,1090
9,17809,54,877,2,2,0,1264
10,1847,43,777,112,112,0,1072
9,2313,55,889,13,1,0,1252
9,7,56,890,13,12,0,1224
8,23923,31,360,1,1,0,1389
9,2925,57,896,10,4,0,1236
8,25648,47,940,2,2,0,1157
8,3014,32,359,1,2,0,1401
8,23174,18,90,1,2,0,1120
8,5,48,939,1,2,0,1158
11,26984,37,465,7,7,0,1048
9,1423,58,896,1,1,0,1255
10,6668,44,777,5,5,0,1106
9,13,59,896,1,1,0,1228
9,280714,60,896,3,3,0,1213
11,280729,38,467,3,1,0,1022
9,1,61,898,3,1,0,1214
11,216081,39,456,4,15,0,1037
9,216081,62,901,5,2,0,1240
10,547258,45,777,2,2,0,1109
9,608767,35,334,2,5,0,1346
8,675352,49,939,1,1,0,1151
8,702291,19,193,0,1,0,1423
8,698505,29,358,1,1,0,1278
